,id,work_exp(in years),skill1,skill2
9933,3470,7,PowerBI,Data Analytics
9934,3471,3,Data Science,Data Analytics
9936,3472,7,Research,Data Analytics
9937,3473,0,Data Science,Data Analytics
9938,3474,7,Data Science,Data Analytics
9941,3475,0,Data Science,Data Science
9947,3476,10,Data Science,Data Analytics
9948,3477,0,Artificial intelligence,Artificial Intelligence
9951,3478,10,Executive,Hadoop-Apache
9957,3479,3,DBMS,Data Analytics
9962,3480,2,Data Science,Data Analytics
9966,3481,5,Data Science,Artificial Intelligence
9969,3482,8,Data Science,Infrastructure
9973,3483,8,Marketing,Data Analytics
9974,3484,4,DBMS,Data Analytics
9975,3485,8,Data Science,Data Analytics
9977,3486,4,Data Science,Data Analytics
9978,3487,8,Data Science,Management
9991,3488,6,Data Science,Data Analytics
9997,3489,6,Data Science,Data Analytics
9998,3490,0,DBMS,Data Analytics
9999,3491,4,Data Science,Data Analytics
10000,3492,0,Data Science,Data Analytics
10002,3493,1,Machine Learning,Engineer
10004,3494,4,Data Science,Hadoop-Apache
10005,3495,8,Research,Data Analytics
10006,3496,7,Data Science,Artificial Intelligence
10009,3497,1,Data Science,Data Analytics
10010,3498,5,Data Science,Data Analytics
10012,3499,9,Data Science,Data Science
10014,3500,2,Research,Data Analytics
10015,3501,6,Engineer,Data Analytics
10016,3502,6,Data Science,Data Analytics
10017,3503,9,Executive,science and numerics
10021,3504,0,Data Science,Hadoop-Apache
10022,3505,9,DBMS,Data Analytics
10023,3506,8,Data Science,science and numerics
10024,3507,5,Data Science,Management
10025,3508,0,Data Science,Data Analytics
10027,3509,6,Data Science,Data Science
10029,3510,8,PowerBI,science and numerics
10030,3511,8,Data Science,Data Analytics
10031,3512,4,Machine Learning,Research
10033,3513,9,Data Science,Artificial Intelligence
10036,3514,6,Data Science,science and numerics
10039,3515,3,Machine Learning,Data Analytics
10040,3516,1,Data Science,Data Analytics
10043,3517,9,Statistics,Data Science
10044,3518,9,Statistics,Data Science
10045,3519,2,Data Science,Data Analytics
10046,3520,2,Research,Data Analytics
10049,3521,9,Machine Learning,Data Analytics
10051,3522,10,Data Science,Data Analytics
10052,3523,3,Data Science,Data Analytics
10054,3524,2,Data Science,Artificial Intelligence
10060,3525,7,Statistics,Data Analytics
10063,3526,7,Machine Learning,Data Analytics
10064,3527,1,Data Science,Deep Learning
10070,3528,6,Data Science,Data Analytics
10072,3529,2,Machine Learning,Data Analytics
10073,3530,10,Statistics,Data Analytics
10074,3531,10,Engineer,Data Analytics
10075,3532,7,Data Science,Data Analytics
10080,3533,1,Data Science,Data Analytics
10081,3534,6,Artificial intelligence,Data Analytics
10085,3535,10,Data Science,Data Analytics
10086,3536,7,Data engineer,Data Analytics
10087,3537,5,Data Science,Data Analytics
10089,3538,9,Research,Data Analytics
10090,3539,8,Data Science,Artificial Intelligence
10092,3540,7,Data Science,Data engineer
10093,3541,3,Machine Learning,Data Analytics
10095,3542,8,Data Science,Data Analytics
10097,3543,3,Data Science,Data Analytics
10100,3544,2,Management,Data Analytics
10101,3545,3,Finance,Management
10103,3546,8,Data engineer,Data Analytics
10104,3547,2,Data Science,Data Analytics
10105,3548,7,Data Science,Data Analytics
10106,3549,0,Data Science,Data Analytics
10108,3550,6,Data Science,Data engineer
10109,3551,2,Data Science,Data Analytics
10118,3552,6,Statistics,Data Analytics
10119,3553,1,Data Science,Research
10121,3554,0,Data Science,Data Analytics
10124,3555,5,Data Science,Data Analytics
10129,3556,6,DBMS,Artificial Intelligence
10130,3557,7,PowerBI,science and numerics
10132,3558,2,Data Science,science and numerics
10133,3559,4,Computer Vision,Data Analytics
10138,3560,5,Data Science,Management
10141,3561,10,Machine Learning,Data Analytics
10150,3562,1,DBMS,Data Analytics
10152,3563,1,Research,Machine Learning
10155,3564,9,Management,Data engineer
10156,3565,4,Data Science,Data Analytics
10159,3566,2,Data Science,Hadoop-Apache
10160,3567,1,Executive,Data Analytics
10161,3568,1,Machine Learning,Data Analytics
10164,3569,0,Applied Science,Data Analytics
10165,3570,2,Executive,Research
10166,3571,5,Data Science,Data Analytics
10167,3572,9,Data Science,Data Analytics
10168,3573,2,Data engineer,Data Analytics
10169,3574,7,Statistics,Data Analytics
10170,3575,1,Computer Vision,Data Analytics
10172,3576,0,Data Science,Management
10173,3577,4,Statistics,Artificial Intelligence
10176,3578,4,Data Science,Data Analytics
10183,3579,4,Management,Data Analytics
10184,3580,7,Product Management,Deep Learning
10186,3581,0,Machine Learning,Engineer
10187,3582,2,Data Science,Data Analytics
10188,3583,8,Data Science,Data Analytics
10189,3584,10,Machine Learning,Data Analytics
10191,3585,1,Data Science,Data Analytics
10192,3586,4,Data Science,Data Analytics
10194,3587,9,Research,Data Analytics
10197,3588,1,DBMS,Data Analytics
10200,3589,10,Machine Learning,Data Analytics
10202,3590,3,Statistics,Data Science
10205,3591,4,Data Science,Management
10207,3592,8,Data Science,Data engineer
10208,3593,1,Machine Learning,Data Analytics
10209,3594,9,Machine Learning,Management
10211,3595,6,Executive,Hadoop-Apache
10212,3596,2,Data Science,Data Analytics
10213,3597,2,Machine Learning,Data Analytics
10217,3598,4,Machine Learning,Data Analytics
10227,3599,4,Data Science,Data Analytics
10228,3600,3,Data Science,Management
10229,3601,5,Computer Vision,Data Analytics
10230,3602,8,Machine Learning,Data Analytics
10231,3603,5,Statistics,Deep Learning
10233,3604,1,Executive,Data Analytics
10238,3605,2,Machine Learning,Data Analytics
10239,3606,3,Data engineer,Data Analytics
10240,3607,9,DBMS,Data Analytics
10241,3608,4,Data Science,Data Analytics
10245,3609,2,Data Science,Data Science
10251,3610,2,Management,Data Analytics
10252,3611,5,Data Science,Data Analytics
10255,3612,4,Machine Learning,Data Analytics
10257,3613,7,Data Science,Hadoop-Apache
10258,3614,0,Data Science,Data Analytics
10266,3615,2,Data Science,Infrastructure
10267,3616,5,Data Science,Data Analytics
10268,3617,10,Data Science,Data Analytics
10273,3618,7,PowerBI,Data Analytics
10278,3619,10,Executive,Data Analytics
10279,3620,5,DBMS,Data Analytics
10280,3621,4,Data Science,Data Analytics
10281,3622,6,Data Science,Data Analytics
10283,3623,10,Research,Data Analytics
10287,3624,4,Data Science,Hadoop-Apache
10289,3625,10,Data Science,Data Analytics
10292,3626,5,Data Science,Data Analytics
10293,3627,0,Data Science,Data Analytics
10295,3628,6,PowerBI,Data engineer
10296,3629,10,Data Science,Data Analytics
10303,3630,10,Research,Artificial Intelligence
10304,3631,7,Data Science,Infrastructure
10305,3632,7,Data Science,Data Analytics
10306,3633,2,Data Science,Data Science
10307,3634,2,Machine Learning,Hadoop-Apache
10309,3635,1,Data Science,Data Analytics
10311,3636,1,Statistics,Software Development
10314,3637,0,Statistics,Data Analytics
10315,3638,8,Machine Learning,Data Analytics
10320,3639,7,Data Science,Data Analytics
10324,3640,5,Product Management,Data Analytics
10325,3641,3,Data Science,Management
10327,3642,0,Research,Data Analytics
10330,3643,9,Cloud computing,Artificial Intelligence
10331,3644,3,Artificial intelligence,Engineer
10332,3645,0,Data Science,Data Analytics
10333,3646,1,Data engineer,Data Analytics
10334,3647,3,Executive,Data Analytics
10340,3648,3,Data engineer,Data Analytics
10341,3649,4,Research,Data Analytics
10342,3650,3,Statistics,science and numerics
10343,3651,4,Data Science,Management
10344,3652,4,PowerBI,Data Science
10350,3653,5,Data Science,Data Science
10351,3654,3,Management,Infrastructure
10355,3655,5,Computer Vision,Data Science
10357,3656,2,Statistics,Data Analytics
10364,3657,4,Data Science,Data Analytics
10366,3658,10,Data Science,Data Analytics
10371,3659,7,Data Science,Artificial Intelligence
10372,3660,7,Data Science,Data Analytics
10373,3661,4,Computer Vision,Data Analytics
10375,3662,0,Data Science,Data Analytics
10381,3663,8,Data Science,Data Analytics
10384,3664,7,Data Science,science and numerics
10385,3665,9,Data Science,Data Analytics
10386,3666,1,Data Science,Data Analytics
10391,3667,2,DBMS,Management
10392,3668,3,Applied Science,Data Analytics
10393,3669,5,Data Science,Data Analytics
10396,3670,9,Data Science,Data Analytics
10399,3671,10,Management,Data Analytics
10400,3672,1,Statistics,Data engineer
10401,3673,3,PowerBI,Data Analytics
10402,3674,10,Data Science,Data Analytics
10405,3675,7,Executive,management
10408,3676,4,Computer Vision,Engineer
10411,3677,8,Statistics,Data Analytics
10413,3678,1,Data Science,Data Analytics
10414,3679,8,Computer Vision,Data Analytics
10415,3680,7,Data Science,Data Analytics
10417,3681,1,Data Science,Data Analytics
10419,3682,8,DBMS,Data Analytics
10431,3683,3,Statistics,Deep Learning
10434,3684,2,Data Science,Data Analytics
10438,3685,3,Data Science,Data Analytics
10440,3686,5,DBMS,Data Analytics
10450,3687,3,Machine Learning,Data Science
10454,3688,6,Statistics,Data Science
10455,3689,3,Data Science,Data Analytics
10456,3690,3,Research,Data Analytics
10458,3691,1,Data Science,Data Analytics
10461,3692,6,Machine Learning,Data Analytics
10463,3693,6,Engineer,Artificial Intelligence
10464,3694,6,Data Science,Data Analytics
10465,3695,0,Research,Data Analytics
10466,3696,7,Product Management,Data Analytics
10468,3697,8,Statistics,Data Analytics
10469,3698,5,PowerBI,Data Analytics
10470,3699,3,Machine Learning,Data Analytics
10471,3700,8,Data Science,Data Analytics
10472,3701,3,Artificial intelligence,Data Analytics
10473,3702,6,Data Science,management
10475,3703,3,Data Science,Data Analytics
10479,3704,2,Statistics,Data Analytics
10481,3705,5,Research,Data Analytics
10483,3706,10,Data Science,Data Analytics
10484,3707,6,Machine Learning,Management
10485,3708,0,Executive,Data Analytics
10486,3709,10,Data Science,Hadoop-Apache
10491,3710,3,Executive,Data Analytics
10496,3711,10,Executive,Data Analytics
10497,3712,10,Data Science,Data Analytics
10498,3713,7,Data Science,Data Analytics
10499,3714,6,Data Science,Data Analytics
10500,3715,9,Machine Learning,Engineer
10504,3716,9,Engineer,Data Analytics
10505,3717,7,Data Science,Data Analytics
10510,3718,2,Engineer,Data Analytics
10511,3719,5,Finance,Data engineer
10512,3720,6,Data Science,Artificial Intelligence
10513,3721,8,Executive,Data Analytics
10514,3722,5,Data Science,Data Analytics
10515,3723,10,Research,Data Analytics
10519,3724,5,DBMS,management
10520,3725,10,Artificial intelligence,Data Analytics
10525,3726,7,Machine Learning,Deep Learning
10526,3727,6,Data Science,Data Analytics
10527,3728,2,Statistics,Data Analytics
10528,3729,0,Data Science,Artificial Intelligence
10529,3730,5,Data Science,Data Analytics
10531,3731,9,Research,Data Analytics
10532,3732,6,Data Science,Data Analytics
10534,3733,7,Data Science,Hadoop-Apache
10535,3734,7,Executive,Data Science
10539,3735,2,Data Science,Data Analytics
10542,3736,4,Data Science,Data Analytics
10548,3737,3,Computer Vision,Data Analytics
10554,3738,2,Executive,Data Analytics
10556,3739,3,Executive,Data Analytics
10558,3740,1,Data Science,Data Analytics
10559,3741,8,DBMS,Data Analytics
10565,3742,7,Data Science,Data Analytics
10566,3743,2,Data Science,Data Analytics
10568,3744,5,Statistics,Data Analytics
10570,3745,9,Data Science,Artificial Intelligence
10575,3746,2,Data Science,Data Analytics
10576,3747,4,Data Science,Data Analytics
10580,3748,9,Artificial intelligence,Data Analytics
10583,3749,4,DBMS,Data Analytics
10586,3750,10,Data Science,Data engineer
10590,3751,8,Data Science,Data Analytics
10591,3752,4,Data Science,Data Analytics
10595,3753,8,Research,Data Analytics
10596,3754,6,Machine Learning,Data Analytics
10599,3755,0,Data Science,Data Analytics
10601,3756,3,Statistics,management
10603,3757,2,Applied Science,Data Analytics
10604,3758,7,Data Science,Data Analytics
10605,3759,4,DBMS,Data Analytics
10607,3760,5,Data Science,Engineer
10608,3761,10,Data Science,Data Analytics
10609,3762,1,Data Science,Data Analytics
10612,3763,5,Data Science,Data Analytics
10613,3764,8,Data Science,Data Analytics
10615,3765,1,Data Science,Data Analytics
10617,3766,6,Data Science,Data Analytics
10619,3767,8,DBMS,Data Analytics
10620,3768,4,Data Science,Data engineer
10622,3769,5,Computer Vision,management
10623,3770,3,Executive,Data Analytics
10626,3771,3,Data Science,Data Analytics
10627,3772,10,Statistics,Data Analytics
10629,3773,5,Data engineer,Artificial Intelligence
10630,3774,8,Executive,Management
10631,3775,10,Data Science,Management
10638,3776,6,Management,Data Analytics
10642,3777,8,Machine Learning,Data Analytics
10646,3778,10,Data Science,Data Analytics
10649,3779,7,Data Science,Data Analytics
10655,3780,5,Computer Vision,Data Analytics
10658,3781,5,Machine Learning,Data Science
10659,3782,3,Machine Learning,Deep Learning
10662,3783,8,PowerBI,Artificial Intelligence
10666,3784,4,Data Science,Data Analytics
10667,3785,0,Data Science,Data Analytics
10668,3786,0,Data Science,Research
10669,3787,1,Machine Learning,Data Analytics
10673,3788,6,Data Science,Data Analytics
10674,3789,8,Research,Data Analytics
10675,3790,0,Machine Learning,Data Analytics
10676,3791,9,Data Science,Engineer
10678,3792,4,Data Science,Data Analytics
10679,3793,10,DBMS,Data Analytics
10682,3794,9,Data Science,Data Analytics
10685,3795,9,Cloud computing,Data Analytics
10686,3796,1,Research,Engineer
10689,3797,2,DBMS,Hadoop-Apache
10690,3798,5,Data Science,Data Analytics
10692,3799,2,Machine Learning,Data Analytics
10693,3800,8,PowerBI,Data Analytics
10698,3801,6,Data Science,Data Analytics
10700,3802,4,Statistics,Management
10705,3803,9,Data Science,Management
10706,3804,8,Machine Learning,Data Analytics
10709,3805,2,Statistics,Artificial Intelligence
10710,3806,8,Machine Learning,Data Analytics
10718,3807,3,Statistics,Data Analytics
10720,3808,9,Data Science,management
10725,3809,4,Data Science,science and numerics
10727,3810,5,Data Science,Infrastructure
10732,3811,10,Statistics,Artificial Intelligence
10734,3812,2,Statistics,Data Analytics
10736,3813,2,Data Science,Data Analytics
10737,3814,0,Data Science,Data Analytics
10741,3815,9,Data Science,Data Science
10742,3816,3,Data Science,Data Analytics
10744,3817,3,Data Science,Data Analytics
10748,3818,10,Machine Learning,Data Analytics
10751,3819,1,Statistics,Data Analytics
10752,3820,6,PowerBI,Data Analytics
10753,3821,6,Machine Learning,Data Analytics
10754,3822,10,Data Science,Management
10758,3823,0,Data Science,Data Analytics
10759,3824,5,Data Science,Management
10760,3825,5,Executive,Artificial Intelligence
10762,3826,6,Data Science,Data Analytics
10764,3827,4,Research,Data Analytics
10765,3828,10,Machine Learning,Data Analytics
10769,3829,4,Data Science,Data Analytics
10770,3830,6,Machine Learning,Data Analytics
10772,3831,5,Data Science,Data Analytics
10774,3832,9,Data Science,Data Analytics
10778,3833,6,Data Science,Artificial Intelligence
10782,3834,10,Computer Vision,Data Analytics
10783,3835,2,Statistics,Data Analytics
10784,3836,5,Data Science,Research
10785,3837,5,Research,Data Analytics
10786,3838,6,PowerBI,Data Analytics
10787,3839,5,Data Science,Data Analytics
10788,3840,5,Data Science,Data Science
10789,3841,8,Data engineer,Artificial Intelligence
10791,3842,0,Artificial intelligence,Data Analytics
10793,3843,1,Research,Data Analytics
10794,3844,5,Data Science,Data Analytics
10795,3845,4,Research,Hadoop-Apache
10801,3846,3,Artificial intelligence,Data Analytics
10810,3847,5,DBMS,Research
10811,3848,7,Data Science,Data Analytics
10812,3849,2,Data Science,Data Analytics
10813,3850,0,Data Science,Data Analytics
10817,3851,2,Data Science,science and numerics
10818,3852,3,Machine Learning,science and numerics
10819,3853,3,Management,Data Science
10821,3854,9,Data Science,Artificial Intelligence
10822,3855,0,Data Science,Data Analytics
10826,3856,9,Statistics,Data Analytics
10827,3857,9,Statistics,Data Analytics
10831,3858,5,Machine Learning,Data Analytics
10833,3859,6,Finance,Artificial Intelligence
10834,3860,0,Management,Management
10837,3861,9,Statistics,Data Analytics
10838,3862,5,Machine Learning,Data Analytics
10841,3863,3,Data Science,Software Development
10842,3864,2,Data Science,Data Analytics
10843,3865,8,Statistics,Data Analytics
10853,3866,10,Data Science,Data Analytics
10854,3867,8,Data Science,Management
10856,3868,6,Data Science,Data Science
10863,3869,1,Machine Learning,Data Analytics
10866,3870,2,Artificial intelligence,Data Analytics
10868,3871,8,Machine Learning,Management
10869,3872,9,Statistics,Data Analytics
10870,3873,6,Machine Learning,Data Analytics
10871,3874,5,Data Science,Management
10873,3875,0,Machine Learning,Data Analytics
10876,3876,0,Statistics,science and numerics
10878,3877,4,Machine Learning,Data Analytics
10885,3878,2,Data Science,Data Science
10888,3879,2,Data Science,Data Analytics
10893,3880,0,Executive,Data Science
10894,3881,4,Data Science,Management
10895,3882,9,Machine Learning,Data Science
10896,3883,6,Machine Learning,Data Analytics
10898,3884,4,PowerBI,Data Analytics
10899,3885,8,Data Science,Artificial Intelligence
10901,3886,0,Data Science,Management
10903,3887,1,Data Science,Data Analytics
10906,3888,4,Data Science,Data engineer
10907,3889,0,Data Science,Data Analytics
10910,3890,3,Executive,Data Analytics
10911,3891,10,Statistics,Management
10919,3892,3,Executive,Data Analytics
10923,3893,8,Machine Learning,science and numerics
10927,3894,7,Machine Learning,Management
10932,3895,4,Data Science,Data Analytics
10938,3896,0,Data Science,Data Analytics
10939,3897,6,Data Science,Data engineer
10941,3898,1,Machine Learning,Data Analytics
10942,3899,0,Artificial intelligence,Data Analytics
10943,3900,10,Statistics,Management
10945,3901,7,Data Science,Data Analytics
10946,3902,8,Statistics,Data Analytics
10948,3903,2,Data Science,Data Analytics
10951,3904,7,Machine Learning,Data Analytics
10955,3905,2,Statistics,Data Analytics
10956,3906,1,Data Science,Data Analytics
10957,3907,1,Management,Data Analytics
10958,3908,2,Data Science,Infrastructure
10960,3909,6,Data Science,Artificial Intelligence
10962,3910,8,Computer Vision,Research
10968,3911,2,Data Science,Data engineer
10969,3912,5,Data Science,Data Analytics
10970,3913,7,Machine Learning,Data Analytics
10971,3914,9,Data Science,Data Analytics
10972,3915,7,Executive,Hadoop-Apache
10973,3916,5,Research,Data Analytics
10979,3917,0,Research,Artificial Intelligence
10980,3918,5,Research,Management
10982,3919,5,Machine Learning,Data Analytics
10986,3920,8,Data Science,Data Analytics
10988,3921,7,Marketing,Data Analytics
10990,3922,8,Executive,Data engineer
10992,3923,5,Data engineer,Management
10995,3924,10,Data Science,Data Science
10999,3925,9,Data Science,Data Analytics
11001,3926,3,Computer Vision,science and numerics
11003,3927,3,Data Science,Data Science
11004,3928,10,Data Science,Data Analytics
11006,3929,7,Artificial intelligence,Data Analytics
11011,3930,3,Data Science,Data Science
11012,3931,1,Machine Learning,Data Analytics
11016,3932,6,PowerBI,Data Analytics
11017,3933,6,Data Science,Artificial Intelligence
11018,3934,8,Data Science,Artificial Intelligence
11019,3935,4,Executive,Data Analytics
11020,3936,3,Data Science,Data Analytics
11022,3937,10,Machine Learning,Data Analytics
11023,3938,0,Machine Learning,Artificial Intelligence
11024,3939,10,Machine Learning,Data Analytics
11026,3940,7,PowerBI,Data Analytics
11029,3941,4,DBMS,Data Analytics
11030,3942,3,Data Science,Data Analytics
11031,3943,7,Data Science,Data Analytics
11032,3944,8,Statistics,Data Analytics
11033,3945,10,Data Science,Data Analytics
11037,3946,5,Data Science,Data Science
11039,3947,4,Data Science,Data Analytics
11040,3948,5,Data Science,Data Analytics
11043,3949,7,Data Science,Data Analytics
11046,3950,1,Data Science,Artificial Intelligence
11047,3951,5,PowerBI,Data Analytics
11049,3952,3,Data Science,Artificial Intelligence
11054,3953,5,Executive,Management
11056,3954,3,DBMS,Data Analytics
11057,3955,2,Data Science,Artificial Intelligence
11059,3956,9,Statistics,Data Analytics
11061,3957,1,DBMS,Data Analytics
11065,3958,0,Statistics,Data Analytics
11066,3959,2,Data Science,Artificial Intelligence
11067,3960,6,Data Science,Data Analytics
11069,3961,8,Machine Learning,Data Analytics
11070,3962,2,DBMS,Data Analytics
11073,3963,5,Data Science,Data Analytics
11075,3964,4,Machine Learning,Infrastructure
11079,3965,4,Machine Learning,Data Analytics
11080,3966,4,Data Science,Data Analytics
11081,3967,5,Data engineer,Artificial Intelligence
11083,3968,4,Statistics,Data Analytics
11085,3969,2,Machine Learning,Data Analytics
11086,3970,3,Executive,Data Analytics
11088,3971,2,PowerBI,Data Analytics
11089,3972,9,Data Science,Data Analytics
11091,3973,9,Data Science,Data Analytics
11092,3974,7,Executive,Data Analytics
11094,3975,10,Machine Learning,science and numerics
11096,3976,7,Research,Data Analytics
11097,3977,4,Artificial intelligence,Data Analytics
11098,3978,5,Executive,Data engineer
11099,3979,9,Applied Science,Data Analytics
11101,3980,2,Machine Learning,Data Analytics
11102,3981,5,Statistics,Research
11103,3982,4,Machine Learning,Data engineer
11104,3983,4,Data Science,Data Science
11105,3984,7,Data Science,Artificial Intelligence
11106,3985,0,Machine Learning,Data Analytics
11107,3986,8,Data Science,Software Development
11109,3987,0,Computer Vision,Data Analytics
11111,3988,4,Data Science,Data Analytics
11112,3989,4,Data Science,Data Analytics
11115,3990,0,Data Science,Data Analytics
11119,3991,4,Data Science,Data Analytics
11120,3992,10,Data Science,Hadoop-Apache
11121,3993,5,Computer Vision,Data Analytics
11123,3994,5,Computer Vision,Hadoop-Apache
11124,3995,9,Executive,Data Analytics
11126,3996,0,Data Science,Data Analytics
11130,3997,5,Data Science,Hadoop-Apache
11132,3998,0,Data Science,Data Analytics
11133,3999,3,PowerBI,Data Analytics
11134,4000,5,Statistics,Deep Learning
11135,4001,8,Product Management,Data Analytics
11136,4002,4,Data Science,Management
11141,4003,7,Research,Data Analytics
11145,4004,8,Data Science,Data Analytics
11147,4005,5,Data Science,Artificial Intelligence
11148,4006,6,Data Science,Management
11152,4007,9,Research,Data Analytics
11155,4008,3,Data Science,Data Analytics
11156,4009,10,Research,Data Analytics
11159,4010,5,Data Science,Data Analytics
11161,4011,7,Data Science,Data Analytics
11162,4012,3,Machine Learning,Data engineer
11165,4013,3,Data Science,Artificial Intelligence
11168,4014,0,Machine Learning,Data Science
11186,4015,4,Machine Learning,Management
11188,4016,10,DBMS,Data Analytics
11189,4017,1,Data Science,Management
11190,4018,9,Machine Learning,Data Analytics
11191,4019,5,Machine Learning,Data Analytics
11192,4020,8,Data Science,Data Analytics
11194,4021,4,Data Science,Data Analytics
11195,4022,5,Statistics,Data Analytics
11196,4023,1,Data Science,Data Analytics
11198,4024,1,Statistics,Data Analytics
11203,4025,5,Statistics,Data Analytics
11205,4026,4,Statistics,Management
11207,4027,8,Data Science,Data Analytics
11209,4028,7,Machine Learning,Data Analytics
11213,4029,1,Data Science,Data Analytics
11216,4030,1,Machine Learning,Data Analytics
11219,4031,3,Statistics,Data Analytics
11222,4032,9,Data Science,Data Analytics
11226,4033,6,Engineer,Data Analytics
11227,4034,5,Data Science,Data Analytics
11229,4035,0,DBMS,Data Analytics
11230,4036,10,Data Science,Artificial Intelligence
11234,4037,9,Data Science,Data Analytics
11235,4038,10,Data Science,Data Analytics
11236,4039,7,Data Science,Artificial Intelligence
11237,4040,0,Data Science,Artificial Intelligence
11239,4041,10,Data Science,Data Analytics
11240,4042,2,Research,Data Analytics
11242,4043,2,Statistics,Management
11245,4044,7,Machine Learning,Data Science
11246,4045,10,Computer Vision,Data Science
11248,4046,9,Data Science,Data Analytics
11251,4047,9,Machine Learning,Data Analytics
11252,4048,10,Statistics,Data Analytics
11253,4049,3,Data Science,Data Analytics
11255,4050,6,Data Science,Data Analytics
11257,4051,10,Data Science,Data Analytics
11258,4052,5,Data Science,Data Analytics
11261,4053,1,Machine Learning,Management
11263,4054,1,Data Science,Data Analytics
11264,4055,6,Machine Learning,Data Analytics
11265,4056,5,PowerBI,Data Analytics
11267,4057,4,Applied Science,Management
11268,4058,8,Data Science,Data Analytics
11269,4059,10,Data Science,management
11270,4060,9,Data Science,Artificial Intelligence
11273,4061,3,Statistics,Data Analytics
11276,4062,9,PowerBI,Data Analytics
11277,4063,7,Data Science,Data Analytics
11281,4064,10,Data Science,Data Analytics
11284,4065,8,Data Science,Data Analytics
11286,4066,1,Machine Learning,Data Analytics
11289,4067,5,Data Science,Management
11292,4068,4,Executive,Data Analytics
11296,4069,2,Applied Science,Data Analytics
11298,4070,3,Research,Data Analytics
11303,4071,0,Engineer,science and numerics
11306,4072,8,Executive,Data Analytics
11307,4073,7,Finance,Data Analytics
11314,4074,9,Management,Data Analytics
11320,4075,2,Data engineer,Data Analytics
11321,4076,5,Data Science,Data Analytics
11326,4077,7,Computer Vision,Data Analytics
11330,4078,9,Data Science,Data Analytics
11331,4079,9,DBMS,Data Analytics
11332,4080,8,Statistics,Data Analytics
11333,4081,6,Data Science,Data Analytics
11337,4082,1,DBMS,Data Analytics
11340,4083,9,Research,science and numerics
11343,4084,4,PowerBI,Data Analytics
11345,4085,6,Data Science,Data Analytics
11347,4086,0,Machine Learning,science and numerics
11348,4087,0,Data Science,Data Analytics
11350,4088,2,Data Science,Data Analytics
11351,4089,4,Statistics,Data Analytics
11362,4090,2,Data Science,Data Analytics
11366,4091,5,Data Science,Data Analytics
11367,4092,8,Research,Data Analytics
11368,4093,5,Data engineer,Software Development
11372,4094,3,Data Science,Data Analytics
11373,4095,10,Machine Learning,Data Science
11374,4096,6,Data engineer,Data Analytics
11376,4097,4,Data Science,Data Analytics
11377,4098,3,Data Science,Data Analytics
11384,4099,1,Data Science,Data Analytics
11385,4100,2,Machine Learning,Management
11389,4101,7,Statistics,Data Analytics
11393,4102,2,DBMS,Data Analytics
11394,4103,6,Data Science,Data Analytics
11397,4104,6,Executive,Artificial Intelligence
11398,4105,7,Data Science,Data Analytics
11400,4106,5,PowerBI,Engineer
11403,4107,3,Statistics,Data Analytics
11404,4108,2,Statistics,Artificial Intelligence
11408,4109,0,Data Science,Data Analytics
11412,4110,0,Data Science,science and numerics
11415,4111,0,Data Science,Data Analytics
11416,4112,5,Statistics,Data Analytics
11420,4113,2,Data Science,Data engineer
11423,4114,8,Data Science,Data Analytics
11424,4115,6,Statistics,Artificial Intelligence
11425,4116,7,Management,Data Analytics
11435,4117,4,Data Science,Data Analytics
11437,4118,6,PowerBI,Artificial Intelligence
11441,4119,3,Machine Learning,Deep Learning
11443,4120,5,Data Science,Management
11445,4121,4,PowerBI,Data Analytics
11448,4122,2,Data Science,Artificial Intelligence
11450,4123,6,Machine Learning,Data Analytics
11453,4124,4,Data Science,Data Analytics
11455,4125,10,Data Science,Data Analytics
11459,4126,3,PowerBI,Management
11461,4127,9,Executive,Management
11462,4128,7,Data Science,Data Analytics
11463,4129,8,Data Science,Data Analytics
11468,4130,8,Data Science,Infrastructure
11471,4131,5,Data Science,Data Analytics
11472,4132,6,Machine Learning,Artificial Intelligence
11475,4133,8,Management,Data Analytics
11476,4134,4,Research,Data Analytics
11478,4135,6,Data Science,Data Analytics
11481,4136,9,Executive,Artificial Intelligence
11484,4137,5,Data Science,Data Analytics
11486,4138,0,Data Science,management
11487,4139,5,Data Science,Research
11489,4140,6,Data engineer,Data Analytics
11492,4141,2,Artificial intelligence,Data Analytics
11494,4142,9,Data Science,Artificial Intelligence
11498,4143,8,Statistics,Data Analytics
11499,4144,4,DBMS,Data Analytics
11501,4145,10,Data Science,Data Analytics
11510,4146,0,DBMS,Data Analytics
11513,4147,5,Data Science,Research
11514,4148,2,Executive,Data Analytics
11515,4149,10,Data Science,Engineer
11518,4150,5,Data Science,Infrastructure
11519,4151,5,DBMS,Data Analytics
11525,4152,9,Data Science,Artificial Intelligence
11526,4153,7,Data Science,Data Analytics
11527,4154,3,Data Science,Artificial Intelligence
11530,4155,4,PowerBI,Data Analytics
11531,4156,9,Machine Learning,Data Analytics
11536,4157,1,Data engineer,Data Analytics
11537,4158,3,Data Science,Data Analytics
11539,4159,1,Statistics,Data Analytics
11540,4160,7,Statistics,Data Analytics
11542,4161,1,Data Science,Data Analytics
11543,4162,5,Machine Learning,Data Analytics
11545,4163,6,Statistics,Data Analytics
11548,4164,5,Data Science,Data Analytics
11550,4165,8,Machine Learning,Data Analytics
11552,4166,10,Data Science,Data Analytics
11554,4167,1,Machine Learning,Data Analytics
